TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
NKTR;0,45;;-0,28;0,43;0,17;71,21;-316,03;-349,75;-0,31;1,17;1,48;-2,08;0,98;0,22;-1,61;8,70;-155,81;-62,09;-142,25;0,40;0,60;0,18;-21,44;;;1,04;-1,61;;85.553.415,00
NKTX;1,95;;-0,77;0,30;0,22;;;;-0,74;1,48;2,25;-0,88;;0,37;-0,67;10,77;-39,32;-29,14;-39,32;0,74;0,26;0,00;;;;6,48;-2,55;;95.663.490,00
NKX;11,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL;4,86;5,76;-9,57;0,65;0,40;28,68;-21,00;-15,43;-7,99;-2,39;4,64;-0,43;1,48;1,33;-0,63;7,10;-6,74;-4,23;-12,48;0,63;0,34;0,27;8,25;-21,85;;7,53;-0,51;;237.330.810,00
NLOK;21,66;;16,86;-48,21;2,31;85,52;34,43;30,35;;16,33;1,47;;5,12;-14,49;-3,12;0,62;-285,95;13,69;33,37;-0,05;1,05;0,45;-7,00;;;-0,45;1,28;;14.416.246.200,00
NLS;0,80;;-0,58;0,49;0,21;19,60;-16,29;-18,32;-0,88;-0,60;0,05;-0,03;0,11;0,67;-0,54;1,99;-84,89;-35,77;-61,53;0,42;0,58;1,95;-6,29;;;1,64;-1,39;;28.872.000,00
NLSN;27,93;;18,96;2,89;0,92;63,68;23,17;14,99;7,53;18,37;6,10;1,44;2,84;14,14;-1,06;2,04;15,26;4,86;8,66;0,32;0,68;0,32;-11,12;13,92;;9,65;1,47;;10.050.171.999,00
NLSP;0,50;;-2,44;29,92;2,81;;;;-3,26;-1,87;0,94;-10,02;;4,88;-386,06;2,38;-1.228,23;-115,47;-1.062,55;0,09;0,91;0,00;;;;0,02;-0,21;;16.214.450,00
NLSPW;0,12;;-0,58;7,18;0,68;;;;-0,78;-1,87;0,94;-10,02;;1,17;-92,65;2,38;-1.228,23;-115,47;-1.062,55;0,09;0,91;0,00;;;;0,02;-0,21;;16.214.450,00
NLTX;3,33;;-0,68;0,37;0,31;;;;-0,69;1,23;1,92;-1,03;;0,37;-2,87;17,17;-53,79;-45,54;-53,79;0,85;0,15;0,00;;;;9,04;-4,86;;29.318.319,00
NM;2,22;;0,43;0,47;0,03;57,51;42,52;19,45;;4,29;4,10;9,80;0,08;-0,24;-0,03;0,42;109,38;6,89;20,69;0,06;0,94;0,35;-12,10;;;4,77;5,22;;50.674.830,00
NMCI;9,23;;62,98;1,58;0,69;90,85;16,53;3,54;5,90;22,44;8,97;1,05;2,23;-15,56;-0,72;0,48;2,50;1,09;5,59;0,44;0,56;0,31;;;;5,86;0,15;;299.472.675,71
NMCO;9,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NMFC;12,68;10,65;12,61;0,97;0,39;100,00;97,90;45,45;5,82;14,33;8,47;1,40;5,73;;-0,39;;7,69;3,09;6,70;0,40;0,60;0,07;-0,27;-7,34;;13,07;1,01;;1.286.254.128,00
NMFCL;25,25;;25,11;1,93;0,78;100,00;97,90;45,45;11,59;14,33;8,47;1,40;11,41;;-0,78;;7,69;3,09;6,70;0,40;0,60;0,07;-0,27;-7,34;;13,07;1,01;;1.286.254.128,00
NMI;8,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NMIH;28,42;;7,57;1,32;0,86;78,51;78,39;56,07;5,19;6,18;0,76;0,19;4,24;;-0,86;;17,41;11,32;15,68;0,65;0,35;0,20;23,42;67,75;;21,57;3,76;;2.304.313.494,00
NMM;21,51;0,93;1,31;0,33;0,18;67,78;55,78;61,07;;3,41;1,97;0,45;0,80;-37,33;-0,19;0,94;25,11;13,45;14,89;0,54;0,46;0,22;41,73;;;65,28;16,39;;649.266.444,00
NMMC;10,01;;16,84;-20,34;1,25;;;;16,82;16,82;0,00;;;-356,63;-1,25;0,18;-120,83;7,42;-120,84;-0,06;0,06;0,00;;;;-0,49;0,59;;165.478.313,00
NMMCU;10,00;;16,82;-20,32;1,25;;;;16,81;16,82;0,00;;;-356,28;-1,25;0,18;-120,83;7,42;-120,84;-0,06;0,06;0,00;;;;-0,49;0,59;;165.478.313,00
NMMCW;0,00;;;;;;;;;16,82;0,00;;;;;0,18;-120,83;7,42;-120,84;-0,06;0,06;0,00;;;;-0,49;0,59;;165.478.313,00
NMR;4,02;2,14;14,35;0,51;0,03;93,32;43,55;6,18;;-1,01;-3,05;-0,76;0,89;0,36;-0,08;1,18;3,52;0,22;2,91;0,06;0,94;0,04;-6,54;-19,50;;7,96;0,28;;12.116.519.994,00
NMRD;0,24;;-0,54;-0,48;0,82;-1.916,88;-8.022,08;-16.698,70;-1,35;-3,24;-2,12;;90,08;-0,49;-7,10;0,35;-89,43;-152,17;-228,02;-1,70;2,70;0,01;;;;-0,50;-0,44;;6.935.856,00
NMRK;6,80;1,32;106,70;0,99;0,24;100,00;4,19;0,47;4,34;17,11;5,25;0,44;0,50;;-0,24;;0,93;0,22;3,88;0,24;0,76;0,48;11,13;-7,28;;6,86;0,06;;1.181.009.720,00
NMS;10,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NMT;9,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NMTR;0,08;;-0,03;-0,18;0,12;;;;-0,03;0,02;0,05;;;-0,18;-9,97;0,59;-734,77;-496,97;5.537,86;-0,68;1,68;0,00;;;;-0,44;-3,20;;1.156.776,00
NMY;14,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NMZ;9,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NNA;3,48;;-6,37;0,19;0,04;87,26;10,02;-3,42;0,54;11,86;9,68;0,84;0,22;-0,10;-0,04;0,15;-2,96;-0,64;4,13;0,22;0,78;0,19;2,89;-20,10;;18,46;-0,55;;61.721.280,00
NNBR;2,30;;-2,79;0,70;0,20;13,84;-5,17;-7,79;4,62;-9,69;-5,49;0,91;0,22;1,02;-0,32;2,17;-25,11;-7,20;-8,51;0,29;0,58;0,92;-4,25;;;3,28;-0,82;;108.142.780,00
NNDM;2,42;;-2,27;0,44;0,42;17,29;-851,16;-824,57;;2,58;4,78;-0,96;18,71;0,46;-7,48;36,70;-19,40;-18,67;-20,44;0,96;0,04;0,02;120,93;;;5,50;-1,07;;568.958.940,00
NNI;85,99;1,21;16,86;0,98;0,18;0,00;45,57;9,01;2,93;3,21;-0,13;-0,04;1,52;;-0,18;;5,84;1,07;27,97;0,18;0,82;0,12;9,91;18,66;;87,33;5,10;;3.209.103.805,00
NNOX;5,72;;-7,70;1,21;1,00;-91,67;-1.100,92;-1.029,94;;-5,32;1,88;-0,32;79,29;6,47;-1,39;2,21;-15,74;-12,99;-17,45;0,83;0,17;0,01;;;;4,72;-0,74;;317.802.056,00
NNY;7,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOA;19,59;1,43;11,78;2,43;0,75;11,25;7,84;7,93;;18,22;6,31;1,29;0,93;29,13;-0,92;1,15;20,64;6,32;6,66;0,31;0,69;0,80;19,46;63,92;;8,05;1,66;;523.779.789,00
NOACU;10,04;;;;;;;;;-0,01;-0,01;;;;;0,39;-35,02;1,34;-35,02;-0,04;0,04;0,00;;;;;;;0,00
NOAH;12,23;3,27;0,40;0,06;0,05;100,00;26,97;32,55;;-3,03;-3,51;-0,42;0,13;0,13;-0,09;3,25;14,32;11,54;8,88;0,81;0,19;0,35;0,54;3,70;;213,61;30,59;;75.889.596,00
NOC;464,45;1,55;14,99;4,40;1,56;20,40;15,75;12,07;9,45;13,42;1,92;0,74;1,81;24,62;-2,21;1,28;29,33;10,40;17,52;0,35;0,65;0,86;7,08;11,28;;105,63;30,98;;70.035.623.070,00
NODK;12,62;;-12,29;1,10;0,38;12,63;-7,89;-5,93;5,48;-7,39;1,85;-0,22;0,73;;-0,38;;-8,99;-3,12;-14,72;0,35;0,65;0,53;11,40;;;11,43;-1,03;;263.288.536,00
NOK;3,49;3,44;10,08;0,95;0,44;40,20;9,41;7,37;;5,68;-2,21;-0,27;0,74;2,48;-0,85;1,60;9,46;4,40;8,64;0,47;0,53;0,60;0,32;;;3,66;0,35;;19.301.616.010,00
NOM;9,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOMD;15,91;;11,58;1,03;0,40;27,36;12,29;7,64;;12,81;5,61;0,80;0,89;38,32;-0,48;1,07;8,88;3,46;6,01;0,39;0,61;0,45;5,95;10,22;;15,48;1,37;;2.723.796.773,00
NOV;19,53;1,02;15,42;1,39;0,73;21,40;8,47;6,00;7,66;12,66;1,73;0,22;0,93;2,34;-1,59;2,39;9,04;4,75;7,93;0,53;0,47;0,79;-0,18;;;14,02;1,27;;7.693.394.310,00
NOVA;8,56;;-4,17;0,67;0,10;29,46;-8,83;-34,79;7,52;-121,68;-105,25;4,31;1,45;8,37;-0,11;1,14;-16,13;-2,33;-0,76;0,14;0,84;0,07;48,64;;;12,73;-2,05;;1.047.884.384,00
NOVN;0,09;;-0,08;-0,89;0,03;66,06;-121,98;-128,61;-0,10;0,09;0,17;;0,10;-0,22;-0,05;0,74;-1.133,31;-40,17;-597,82;-0,04;1,04;0,31;55,01;;;-0,10;-1,14;;2.521.386,00
NOVS;24,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOVSU;35,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOVSW;9,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOVT;125,07;;58,24;7,15;3,63;44,35;10,19;8,64;32,06;52,87;3,50;0,51;5,03;16,09;-5,47;3,05;12,28;6,24;7,43;0,51;0,49;0,72;10,55;4,28;;17,48;2,15;;4.478.544.081,00
NOW;638,17;;82,51;18,22;8,67;78,52;10,28;18,72;71,63;147,28;-2,96;-0,36;15,44;294,07;-14,47;1,08;22,08;10,51;1,49;0,48;0,52;0,56;30,44;;;35,02;7,73;;130.859.949.350,00
NP;32,00;;-19,54;1,75;0,49;14,91;-1,22;-2,53;17,05;-75,39;-34,69;1,49;0,49;2,82;-0,74;2,01;-8,93;-2,49;-2,36;0,28;0,72;0,98;1,78;;;18,33;-1,64;;537.219.200,00
NPA;11,60;;-1,41;53,36;1,15;;;;-0,54;-0,54;0,00;-0,03;;-627,76;-1,15;0,33;-3.790,98;-81,56;-13.770,98;0,02;0,04;0,00;;;;0,22;-8,24;;266.800.000,00
NPAUU;13,34;;-1,62;61,36;1,32;;;;-0,62;-0,54;0,00;-0,03;;-721,93;-1,32;0,33;-3.790,98;-81,56;-13.770,98;0,02;0,04;0,00;;;;0,22;-8,24;;266.800.000,00
NPAWW;3,89;;-0,47;17,89;0,39;;;;-0,18;-0,54;0,00;-0,03;;-210,52;-0,39;0,33;-3.790,98;-81,56;-13.770,98;0,02;0,04;0,00;;;;0,22;-8,24;;266.800.000,00
NPK;77,81;2,57;36,69;1,58;1,34;15,66;4,70;4,26;;27,50;-5,77;-0,27;1,56;2,02;-6,46;6,09;4,31;3,65;3,90;0,85;0,15;0,86;-0,73;-17,13;;49,16;2,12;;550.848.114,00
NPN;14,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPO;123,69;0,93;16,78;1,84;1,03;40,29;1,68;14,24;22,59;159,61;17,52;0,23;2,39;5,86;-1,39;3,26;10,95;6,16;-0,17;0,56;0,43;0,43;-0,04;-17,60;;67,34;7,37;;2.586.036.306,00
NPTN;16,01;;-130,37;5,64;2,63;30,04;-0,35;-1,89;43,31;-660,48;39,49;-0,32;2,47;5,50;-12,49;2,54;-4,33;-2,02;-2,50;0,47;0,53;1,07;-6,74;;;2,84;-0,12;;859.559.289,00
NPV;9,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NQP;10,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NR;7,06;;25,05;1,45;0,91;18,08;5,54;2,97;;14,76;1,32;0,14;0,74;2,67;-2,12;2,47;5,79;3,62;6,52;0,63;0,37;1,22;1,75;;;4,87;0,28;;600.722.692,00
NRBO;0,41;;-1,42;0,63;0,54;;;;-1,76;1,45;3,21;-1,14;;0,63;-3.151,19;7,32;-44,16;-38,13;-35,47;0,86;0,14;0,00;;;;0,66;-0,29;;15.755.972,00
NRC;41,71;3,55;35,12;13,18;7,67;62,21;26,79;19,65;22,59;25,70;-0,06;-0,03;6,90;141,32;-11,06;1,21;37,52;21,83;30,89;0,58;0,42;1,11;5,21;6,75;;3,16;1,19;;1.024.722.938,00
NRG;46,23;3,27;-5,04;3,13;0,36;0,22;-6,82;-6,81;-11,34;-12,65;-7,62;4,74;0,34;42,60;-0,55;1,02;-62,18;-7,15;-13,29;0,11;0,89;1,05;28,30;;;14,76;-9,18;;10.437.088.212,00
NRGX;19,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NRIM;44,47;5,17;8,44;1,11;0,09;0,00;25,38;19,92;5,91;-12,14;-18,76;-3,15;1,68;;-0,09;;13,16;1,10;10,56;0,08;0,92;0,06;5,97;18,51;;40,06;5,27;;245.714.538,00
NRIX;5,30;;-1,73;1,10;0,83;100,00;-216,74;-216,74;-1,84;0,01;1,74;-1,11;3,75;1,25;-6,39;4,36;-63,60;-48,25;-63,60;0,76;0,24;0,22;;;;4,82;-3,07;;257.070.140,00
NRK;9,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NRP;71,81;8,61;4,18;;1,11;89,79;72,33;69,43;3,66;4,78;0,76;;2,90;-1.268,94;-1,18;0,99;;26,44;123,86;0,00;0,29;0,38;10,15;24,81;;0,00;17,17;;907.290.626,00
NRT;7,82;38,36;2,55;75,42;24,93;100,00;97,12;97,12;2,55;2,44;-0,10;-3,03;2,47;75,42;;1,49;2.960,76;978,70;2.960,76;0,33;0,67;10,08;18,06;19,45;;0,10;3,07;;71.870.492,00
NRUC;23,05;;;;;0,00;93,66;31,05;;2,67;2,67;1,68;;;;;20,89;1,64;21,53;0,08;0,92;0,05;4,47;1,96;;;;;0,00
NS;17,39;9,20;7,22;;0,45;36,64;32,92;18,78;2,69;10,50;6,38;;1,36;-145,95;-0,46;0,92;;6,20;15,52;0,00;0,78;0,33;3,10;8,53;;0,00;2,41;;2.189.322.745,00
NSC;198,71;2,72;21,50;3,56;1,10;66,70;27,69;16,96;9,59;17,59;4,42;1,20;3,65;197,09;-1,20;1,08;16,57;5,13;9,57;0,31;0,69;0,30;3,85;-9,56;;55,78;9,24;;44.935.544.173,00
NSCO;9,35;;-21,60;-14,79;0,60;25,25;3,91;-7,03;4,70;100,50;61,72;;1,52;14,41;-0,69;1,45;-68,49;-2,77;-2,59;-0,04;1,04;0,39;;;;-0,63;-0,43;;459.615.640,55
NSCO.WS;2,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSEC;16,36;;50,34;1,03;0,28;26,22;2,53;1,24;7,50;24,87;0,15;0,01;0,63;;-0,28;;2,04;0,55;2,66;0,27;0,73;0,44;-0,21;-28,26;;15,93;0,32;;41.433.336,00
NSH;9,93;;-46,00;57,10;1,24;;;;-46,00;-45,86;0,14;-0,17;;-765,38;-1,24;0,74;-124,12;-2,69;-124,12;0,02;0,16;0,00;;;;0,17;-0,22;;285.487.500,00
NSIT;143,49;;17,62;2,98;0,84;16,93;4,09;2,73;10,13;12,99;1,23;0,31;0,48;4,55;-3,89;1,31;16,91;4,79;13,62;0,28;0,72;1,75;9,25;25,35;;48,16;8,14;;4.674.445.032,00
NSL;4,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSP;108,51;2,01;21,29;48,67;2,03;16,51;4,34;2,97;12,63;13,24;-1,35;-4,50;0,63;25,88;-7,80;1,12;228,61;9,52;47,62;0,04;0,96;3,20;12,47;16,69;;2,23;5,10;;4.045.317.906,00
NSS;26,32;;;;;36,64;32,92;18,78;;6,38;6,38;;;;;0,92;;6,20;15,52;0,00;0,78;0,33;;;;;;;0,00
NSSC;26,42;0,54;35,81;6,93;5,83;43,08;18,37;15,96;29,30;28,97;-2,14;-0,48;5,71;8,70;-27,52;6,67;19,35;16,28;19,35;0,84;0,16;1,02;13,13;28,81;;3,81;0,74;;971.466.042,00
NSTG;1,07;;-0,31;-2,40;0,18;39,22;-109,66;-115,14;-0,36;-1,02;-0,69;;0,36;0,32;-0,76;3,55;-772,14;-57,34;-76,81;-0,07;1,07;0,50;2,06;;;-0,45;-3,44;;51.486.581,00
NSYS;8,91;;9,88;0,83;0,36;15,90;3,44;1,75;3,57;6,24;1,21;0,20;0,17;0,81;-1,73;2,23;8,37;3,61;7,78;0,43;0,57;2,06;3,61;;;10,77;0,90;;24.388.452,00
NTAP;76,81;2,60;13,26;18,37;1,73;67,06;15,83;19,49;12,98;15,74;-0,60;-0,67;2,59;17,60;-3,14;1,28;138,49;13,04;23,14;0,09;0,91;0,67;1,45;61,49;;4,18;5,79;;16.037.252.072,00
NTB;26,20;6,72;6,54;1,67;0,09;93,89;0,00;34,25;27,22;;;-3,06;2,24;-0,25;-0,21;0,61;25,51;1,41;;0,06;0,94;0,04;5,47;6,91;;15,70;4,01;;1.259.452.340,00
NTCO;5,60;;-38,29;0,78;0,35;64,49;1,92;-1,39;;42,89;15,19;0,43;0,53;5,50;-0,48;1,30;-2,04;-0,91;0,90;0,45;0,55;0,66;;;;7,16;-0,15;;3.853.221.680,00
NTCT;20,16;;22,87;0,70;0,52;76,47;9,17;6,83;8,53;13,64;-3,39;-0,14;1,56;8,60;-0,66;1,43;3,08;2,29;3,43;0,74;0,26;0,34;-1,51;-5,66;;28,61;0,88;;1.431.281.376,00
NTEC;9,63;;-1,22;1,56;1,02;;;;-1,37;-0,46;0,77;-0,98;;2,55;-3,37;2,34;-127,71;-83,12;-127,43;0,65;0,35;0,00;;;;6,16;-7,86;;17.745.201,00
NTES;115,23;1,47;25,61;4,75;2,96;54,12;20,18;19,86;;19,57;-5,63;-1,06;5,09;7,05;-12,39;2,23;18,56;11,56;14,17;0,62;0,38;0,58;10,79;12,19;;24,25;4,50;;74.317.830.483,00
NTG;33,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NTGR;12,25;;-5,26;0,58;0,36;26,87;-8,67;-7,40;;-1,67;2,81;-0,37;0,39;0,74;-1,96;2,41;-11,11;-6,76;-15,12;0,61;0,39;0,91;-2,14;;;20,97;-2,33;;362.704.125,00
NTIC;11,77;2,38;30,97;1,66;1,26;33,46;7,72;4,48;14,30;18,28;0,30;0,03;1,39;4,65;-2,30;2,53;5,36;4,08;6,30;0,76;0,20;0,91;13,39;13,07;;7,09;0,38;;110.283.723,00
NTLA;23,63;;-4,61;1,89;1,58;100,00;-854,92;-854,92;-4,57;-2,61;2,00;-0,82;39,42;2,49;-5,45;9,41;-41,04;-34,27;-41,04;0,83;0,17;0,04;14,82;;;12,49;-5,12;;2.091.042.330,00
NTNX;38,81;;-37,11;-13,35;3,74;82,17;-12,54;-13,66;-82,46;-39,51;0,94;;5,07;13,02;-14,20;1,64;-35,98;-10,07;-49,84;-0,28;1,28;0,74;10,02;;;-2,91;-1,05;;9.447.009.889,00
NTP;4,21;;3,41;0,61;0,21;62,70;44,16;31,72;2,28;0,26;-2,19;-0,55;1,08;4,31;-0,45;1,11;17,87;6,30;13,69;0,35;0,65;0,20;88,68;;;6,92;1,24;;165.276.180,00
NTR;54,40;3,81;3,91;1,01;0,49;41,26;26,45;19,43;;3,55;0,68;0,24;0,76;8,30;-0,74;1,21;25,89;12,47;21,02;0,48;0,52;0,64;52,81;88,04;;53,81;13,93;;26.903.373.120,00
NTRA;48,62;;-11,32;9,72;4,64;42,53;-53,70;-54,97;-12,17;-10,84;0,75;-0,63;6,22;7,35;-31,76;3,85;-85,85;-41,01;-52,19;0,48;0,52;0,75;31,37;;;5,00;-4,30;;5.793.155.654,00
NTRS;70,97;4,23;13,26;1,24;0,10;0,00;52,42;10,07;2,30;-10,64;-13,18;-6,42;1,33;;-0,10;;9,35;0,76;21,82;0,08;0,92;0,08;6,28;2,19;;57,22;5,35;;14.693.373.308,00
NTRSO;21,03;5,59;3,93;0,37;0,03;0,00;52,42;10,07;0,68;-10,64;-13,18;-6,42;0,40;;-0,03;;9,35;0,76;21,82;0,08;0,92;0,08;6,28;2,19;;57,22;5,35;;14.693.373.308,00
NTUS;32,96;;89,87;2,65;2,01;56,99;4,15;2,65;24,06;53,14;-4,24;-0,20;2,38;6,55;-4,05;2,54;2,94;2,23;2,94;0,76;0,24;0,84;4,39;-20,92;;12,46;0,37;;1.139.852.384,00
NTWK;1,92;;-4,15;0,64;0,37;32,29;-4,68;-10,01;27,54;-4,97;3,90;-0,28;0,42;1,05;-1,30;2,00;-15,51;-8,98;-8,50;0,58;0,42;0,90;-2,97;;;2,98;-0,46;;21.784.128,00
NTZ;6,50;;-26,59;0,71;0,17;34,33;0,56;-0,53;;25,10;0,00;0,00;0,14;5,47;-0,37;1,06;-2,67;-0,64;-0,95;0,24;0,76;1,20;-0,32;;;9,14;-0,24;;71.594.900,00
NU;8,49;;-257,63;8,50;1,60;63,39;2,94;-5,20;;418,61;-36,51;-0,68;13,39;-5,03;-2,03;0,40;-3,30;-0,62;1,54;0,19;0,81;0,12;;;;1,00;-0,03;;40.264.808.991,00
NUAN;55,99;;-180,30;11,35;5,53;59,86;0,91;-7,41;169,68;1.533,69;61,89;0,48;13,36;-48,94;-6,48;0,57;-6,30;-3,06;-0,60;0,49;0,50;0,41;-6,91;;;4,93;-0,31;;17.882.405.343,00
NUE;153,14;1,33;5,02;2,07;1,17;30,12;25,06;18,28;;3,84;0,18;0,10;0,92;3,68;-2,14;3,39;41,21;23,36;32,82;0,57;0,43;1,28;15,44;42,08;;74,04;30,51;;38.089.363.650,00
NUM;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUO;12,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NURO;0,48;;-0,74;0,21;0,19;67,31;-86,64;-86,64;-0,74;2,43;3,17;-0,89;0,64;0,21;-7,10;16,43;-27,99;-26,18;-27,99;0,94;0,06;0,30;-13,54;;;2,32;-0,65;;4.123.872,00
NUS;16,38;9,49;11,55;0,90;0,43;71,08;2,31;3,43;6,86;22,61;5,42;0,29;0,40;2,33;-0,73;1,78;7,83;3,70;1,72;0,47;0,53;1,08;-0,47;-4,14;;18,12;1,42;;809.324.334,00
NUV;8,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUVA;39,75;;73,28;2,34;1,00;71,66;4,97;2,32;9,99;45,95;11,73;0,80;1,70;14,31;-1,53;1,25;3,19;1,36;2,82;0,43;0,57;0,59;3,20;-13,11;;17,02;0,54;;2.084.855.700,00
NUW;13,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUZE;2,78;;-0,23;0,52;0,35;3,85;-293,59;-294,03;-0,24;0,12;0,35;-0,78;0,68;0,68;-1,81;2,69;-223,68;-148,85;-221,28;0,67;0,33;0,51;13,81;;;5,36;-11,99;;2.159.226,00
NVAX;6,15;;-1,06;-0,82;0,37;55,79;-35,64;-36,73;-1,16;-0,53;0,56;;0,39;-1,32;-1,11;0,71;-77,77;-34,82;102,70;-0,45;1,45;0,95;129,43;;;-7,48;-5,82;;620.560.830,00
NVCN;29,42;;-2,49;1,87;1,36;77,16;-1.018,33;-1.215,11;;-1,81;1,17;-0,73;30,26;1,85;-6,77;12,88;-75,12;-54,76;-49,54;0,73;0,27;0,05;-23,17;;;15,72;-11,81;;81.893.512,00
NVCR;11,31;;-6,13;3,07;1,05;75,27;-36,86;-39,14;-6,23;-5,01;1,49;-0,70;2,40;1,36;-12,29;6,67;-50,11;-17,21;-18,98;0,34;0,66;0,44;24,89;;;3,68;-1,85;;1.208.599.041,00
NVDA;489,68;0,03;117,13;43,98;24,41;64,62;34,74;31,60;93,52;105,99;-0,56;-0,23;37,01;65,51;-58,27;2,79;37,55;20,84;28,46;0,55;0,45;0,66;22,66;7,47;;11,13;4,18;;1.209.509.600.000,00
NVEC;69,01;5,80;15,45;5,02;4,93;78,74;70,44;59,71;12,99;12,54;-0,56;-0,21;9,22;13,80;-7,83;26,15;32,47;31,89;32,47;0,98;0,02;0,53;5,08;10,28;;13,76;4,47;;333.552.934,00
NVEE;92,60;;29,82;2,12;1,57;49,73;8,97;6,40;;21,52;0,24;0,02;1,91;11,34;-2,28;1,81;7,11;5,28;7,08;0,74;0,26;0,82;18,76;15,79;;43,67;3,11;;1.471.960.340,00
NVFY;2,17;;-0,26;0,66;0,33;-31,49;-104,09;-105,77;-0,28;-0,24;0,02;-0,06;0,27;1,57;-0,61;1,83;-253,36;-126,58;-241,98;0,50;0,50;1,20;-34,60;;;3,30;-8,35;;3.188.815,00
NVG;10,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NVGS;14,28;0,35;149,60;0,91;0,49;46,74;2,37;1,47;;134,16;41,58;0,41;2,19;-37,90;-0,56;0,90;0,61;0,33;0,48;0,55;0,45;0,23;9,67;58,71;;15,77;0,10;;1.049.608.560,00
NVIV;0,74;;-0,24;0,20;0,17;;;;-0,26;0,90;1,14;-0,93;;0,21;-2,77;9,14;-81,07;-70,38;-81,07;0,87;0,13;0,00;;;;3,73;-3,02;;2.297.996,00
NVMI;113,31;;26,77;6,23;3,61;56,89;27,36;23,85;;22,13;-1,21;-0,32;6,38;7,05;-10,06;4,98;23,27;13,49;16,60;0,58;0,42;0,57;20,79;24,72;;18,19;4,23;;3.254.807.088,00
NVO;101,31;0,09;59,00;43,57;13,76;84,18;42,50;31,50;;43,49;-0,24;-0,24;18,59;-310,07;-27,08;0,92;73,84;23,32;61,96;0,32;0,68;0,74;7,11;5,32;;2,33;1,72;;452.031.229.089,00
NVR;6.045,24;;11,90;4,63;3,07;25,82;20,45;16,14;9,31;8,49;-0,90;-0,44;1,92;;-3,07;;38,87;25,76;32,42;0,66;0,34;1,60;10,77;26,27;;1.306,47;507,88;;19.217.817.960,00
NVRO;15,33;;-5,42;1,94;0,99;67,12;-22,39;-24,22;-6,47;-4,46;1,40;-0,46;1,31;1,26;-14,02;6,55;-35,85;-18,24;-20,27;0,51;0,49;0,75;4,46;;;7,89;-2,83;;555.030.315,00
NVS;94,09;3,69;8,87;3,18;1,63;72,62;24,46;38,78;;14,11;0,05;0,01;3,44;21,99;-2,37;1,31;35,79;18,40;14,84;0,51;0,49;0,47;3,61;-2,02;;29,63;10,60;;193.398.278.445,00
NVST;21,26;;19,11;0,85;0,55;56,97;11,61;7,39;7,77;14,40;2,24;0,16;1,41;4,08;-0,72;2,20;4,44;2,85;4,40;0,64;0,36;0,39;-1,78;-4,19;;25,05;1,11;;3.644.015.024,00
NVT;51,49;1,36;18,14;2,90;1,44;40,71;19,86;14,98;11,29;16,48;2,80;0,59;2,72;13,34;-1,85;1,97;15,99;7,95;11,12;0,50;0,50;0,53;6,76;2,02;;17,75;2,84;;8.542.798.582,00
NVTA;0,51;;-0,17;-0,68;0,09;21,90;-154,23;-161,92;-0,22;-1,62;-1,45;;0,28;0,46;-0,13;2,97;-398,27;-52,50;-62,83;-0,13;1,13;0,32;49,90;;;-0,75;-2,99;;136.177.191,00
NVUS;0,00;;;;;;;;;5,44;5,44;-5,32;;;;18,78;-97,88;-10,93;-97,88;0,11;0,03;0,00;;;;;;;0,00
